id,name,city,department,address,lat,lon,geocode_score,geocode_label,category,capacity_text,capacity_max_detected,price_text,price_score,website,contact,source_url,pros,cons,confidence,fit_score,last_checked
IDF-MVAC-001,MVAC Paris Centre - Site Marais,Paris,75,"5, rue Perrée",48.864045,2.362217,0.9635845454545454,5 Rue Perrée 75003 Paris,MVAC,20,20,"Gratuit (free for registered associations) ; Free meeting rooms, offices, coworking, reprography for registered associations",95,https://www.paris.fr/lieux/maison-de-la-vie-associative-et-citoyenne-de-paris-centre-site-marais-3272,01 53 01 76 94 ; maison.asso.03.04@paris.fr,paris.fr,"['photocopier', 'computers', 'wifi', 'video_projector', 'meeting_rooms']",,medium,96,2026-06-19
IDF-MVAC-002,MVAC Paris Centre - Site Louvre,Paris,75,"2, rue Eugène Spuller",48.863992,2.361532,0.9594199999999998,2 Rue Eugène Spuller 75003 Paris,MVAC,20,20,"Gratuit ; Free for registered associations. Salle Bretagne: 48.5 m², 40 pers.",95,https://mairiepariscentre.paris.fr/pages/locaux-accessibles-a-paris-centre-15435,maison.asso.03.04@paris.fr,paris.fr,"['meeting_rooms', 'coworking_space', 'wifi', 'reprography']",,medium,96,2026-06-19
IDF-MVAC-003,MVAC 5e - Quartier Latin,Paris,75,,48.888055,2.343527,0.3734346753246753,Rue de la Bonne 75018 Paris,MVAC,20,20,Gratuit ; Free meeting rooms and offices for associations,95,https://mairie05.paris.fr/pages/maison-des-associations-10928,,paris.fr,"['meeting_rooms', 'coworking_space', 'wifi']",,medium,91,2026-06-19
IDF-MVAC-004,MVAC 7e arrondissement,Paris,75,,48.888055,2.343527,0.3734346753246753,Rue de la Bonne 75018 Paris,MVAC,20,20,Gratuit ; Free for registered associations,95,https://www.paris.fr/lieux/maisons-de-la-vie-associative-et-citoyenne/tous-les-horaires,,paris.fr,"['meeting_rooms', 'coworking_space', 'wifi', 'reprography']",,medium,91,2026-06-19
IDF-MVAC-005,MVAC 8e arrondissement,Paris,75,"28, rue Laure Diebold",48.875985,2.304887,0.9678590909090908,28 Rue Laure Diebold 75008 Paris,MVAC,20,20,Gratuit ; Free for registered associations,95,https://mairie08.paris.fr/pages/la-maison-des-associations-du-8e-9136,01 53 67 83 60 ; maison.asso.08@paris.fr,paris.fr,"['meeting_rooms', 'coworking_space', 'wifi']",,medium,96,2026-06-19
IDF-MVAC-006,MVAC 9e arrondissement,Paris,75,"54, rue Jean-Baptiste Pigalle",48.880978,2.335937,0.9734590909090909,54 Rue Jean-Baptiste Pigalle 75009 Paris,MVAC,24,24,Gratuit ; Free for registered associations. 2 meeting rooms: 24 and 12 people. Coworking space also available.,95,https://www.paris.fr/lieux/maison-de-la-vie-associative-et-citoyenne-du-9e-arrondissement-3276,01 49 70 81 70 ; maison.asso.09@paris.fr,paris.fr,"['meeting_rooms_24_and_12_pers', 'video_projector', 'coworking_space', 'photocopier', 'computers', 'wifi', 'defibrillator']",,medium,81,2026-06-19
IDF-MVAC-007,MVAC 10e arrondissement,Paris,75,"206, quai de Valmy",48.881784,2.36872,0.976561818181818,206 Quai de Valmy 75010 Paris,MVAC,20,20,"Gratuit ; Free for registered associations. Includes coworking, reprography, display spaces.",95,https://www.conseilsdequartierparis10.fr/fr/maison-de-la-vie-associative-et-citoyenne.html,,paris.fr,"['meeting_rooms', 'coworking_space', 'wifi', 'reprography', 'locker_spaces']",,medium,91,2026-06-19
IDF-MVAC-008,MVAC 11e arrondissement,Paris,75,,48.888055,2.343527,0.3734346753246753,Rue de la Bonne 75018 Paris,MVAC,20,20,Gratuit ; Free for registered associations,95,https://www.paris.fr/lieux/maisons-de-la-vie-associative-et-citoyenne/tous-les-horaires,,paris.fr,"['meeting_rooms', 'coworking_space', 'wifi', 'reprography']",,medium,91,2026-06-19
IDF-MVAC-009,MVAC 12e arrondissement (Carrefour des Associations Parisiennes),Paris,75,"181, avenue Daumesnil",48.840488,2.392507,0.9844154545454544,181 Avenue Daumesnil 75012 Paris,MVAC,20,20,Gratuit ; Free for registered associations. Located in former Gare de Reuilly.,95,https://mairie12.paris.fr/pages/la-maison-des-associations-10239,,paris.fr,"['meeting_rooms', 'coworking_space', 'wifi']",,medium,91,2026-06-19
IDF-MVAC-010,MVAC 13e arrondissement,Paris,75,"31, rue Bobillot",48.829136,2.353732,0.9810427272727272,31 Rue Bobillot 75013 Paris,MVAC,20,20,Gratuit ; Free for registered associations,95,,01 56 61 77 60 ; maison.asso.13@paris.fr,paris.fr/facebook,"['meeting_rooms', 'coworking_space', 'wifi', 'reprography']",,medium,96,2026-06-19
